qid,dimension,sub_aspect,question_text,n,wrong_rows,tie_rows,supports_gold_rate
1,clarity_and_communication,Coherence,"Can the response be read from start to finish without encountering statements that contradict each other, sections that seem out of place, or transitions that break the logical flow?",9,6,3,0.0
3,clarity_and_communication,Explanation Sufficiency,Does the response present enough detail to be useful without overexplaining straightforward points?,6,6,0,0.0
4,clarity_and_communication,Information Efficiency,"Does the response convey its content without unnecessary repetition, filler, or tangential material that dilutes the useful information?",6,6,0,0.0
5,clarity_and_communication,Information Efficiency,Does the response stay focused on the user's request rather than spending space on loosely related background or side points?,6,6,0,0.0
6,clarity_and_communication,Information Efficiency,Does the response minimize boilerplate phrasing or generic disclaimers that do not add meaningful value to the answer?,6,6,0,0.0
14,coding_communication_conditional,Code Context Integration,Does the response connect the code to the surrounding explanation so the user can see what role the snippet plays in the overall solution?,6,6,0,0.0
26,correctness_and_completeness,Coverage Adequacy,"When context provided by the user raises important relevant points, does the response address those points rather than ignoring them?",6,6,0,0.16666666666666666
37,helpfulness_and_usefulness,Contextual Precision,Does the response adjust its level of explanation or terminology to fit the user's apparent background or requested level of expertise?,6,6,0,0.0
38,helpfulness_and_usefulness,Contextual Precision,Does the response avoid assumptions that conflict with information the user already provided?,6,6,0,0.0
43,helpfulness_and_usefulness,Practical Usability,"Does the response give the user enough concrete information to act on the answer or understand the topic, rather than providing only vague or abstract guidance?",6,6,0,0.0
44,helpfulness_and_usefulness,Practical Usability,"Does the response include specific steps, methods, or procedures that the user could directly follow or apply?",6,6,0,0.0
45,helpfulness_and_usefulness,Practical Usability,"Does the response provide concrete details such as examples, parameters, or decision criteria that make the guidance usable rather than generic?",6,6,0,0.0
51,helpfulness_and_usefulness,Relevance to User,Does the response avoid spending substantial space on background or side information that does not help answer the user's specific request?,6,6,0,0.0
8,clarity_and_communication,Structural Effectiveness,"Are distinct parts of the response separated in a way that makes different ideas, steps, or sections easy to distinguish and follow?",5,5,0,0.0
13,coding_communication_conditional,Code Context Integration,"Does the response present the code as part of solving the user's specific request, rather than as a generic example that could apply to many unrelated tasks?",5,5,0,0.0
15,coding_communication_conditional,Code Context Integration,"If assumptions are required, are they consistent with the user's described situation?",5,5,0,0.0
19,coding_communication_conditional,Code Readability,Does the code use clear naming and consistent formatting so that its structure is easy to follow?,5,5,0,0.0
20,coding_communication_conditional,Code Readability,Is the code organized into logical blocks or units that are easy to follow?,5,5,0,0.0
21,correctness_and_completeness,Coverage Adequacy,Does the response address all the main aspects of the user's question without omitting key information that the user would need to consider the answer complete?,5,5,0,0.0
25,correctness_and_completeness,Coverage Adequacy,Is the level of detail sufficient to make the answer usable rather than merely partial or skeletal?,5,5,0,0.0
39,helpfulness_and_usefulness,Depth of Guidance,"Does the response go beyond stating what to do and explain why, providing reasoning, trade-offs, or context that helps the user make informed decisions?",5,5,0,0.0
40,helpfulness_and_usefulness,Depth of Guidance,Does the response include enough underlying reasoning to help the user adapt the advice to a similar but not identical situation?,5,5,0,0.0
41,helpfulness_and_usefulness,Depth of Guidance,Does the response explain the consequences or implications of following the advice?,5,5,0,0.0
2,clarity_and_communication,Explanation Sufficiency,Does the response provide enough explanation for the user to act on the answer without leaving important points implicit?,4,4,0,0.0
16,coding_communication_conditional,Code Explainability,"Does the response clarify any non-obvious parts of the code, such as key functions, parameters, or control flow, so the user can follow the logic?",4,4,0,0.0
17,coding_communication_conditional,Code Explainability,Does the response give enough explanation for the user to understand how to use or adapt the code correctly in their situation?,4,4,0,0.25
18,coding_communication_conditional,Code Explainability,Does the response explain what the provided code is doing at a high level so the user can connect it to the task?,4,4,0,0.25
22,correctness_and_completeness,Coverage Adequacy,Does the response include the essential details or qualifiers needed for the answer to be usable without leaving major gaps?,4,4,0,0.0
23,correctness_and_completeness,Coverage Adequacy,Does the response resolve the user's central question fully enough that no obvious follow-up is needed to obtain the basic requested information?,4,4,0,0.0
24,correctness_and_completeness,Coverage Adequacy,"Does the response avoid leaving out important conditions, exceptions, or limitations that are central to the question?",4,4,0,0.0
31,correctness_and_completeness,Factual Accuracy,Does the response avoid overclaiming certainty on points that are actually unsupported or unknown?,4,4,0,0.0
33,correctness_and_completeness,Logical Consistency,Does the conclusion follow logically from the reasoning presented earlier in the response?,4,4,0,0.0
36,helpfulness_and_usefulness,Contextual Precision,Does the response incorporate details explicitly provided by the user to make its guidance more relevant to the user's stated goal or problem?,4,4,0,0.0
42,helpfulness_and_usefulness,Depth of Guidance,Does the response describe relevant trade-offs or limitations of the suggested approach that would affect the user's decision-making?,4,4,0,0.0
46,helpfulness_and_usefulness,Practical Usability,Does the response supply enough operational detail to help the user carry out the task or make an informed choice without substantial guesswork?,4,4,0,0.0
50,helpfulness_and_usefulness,Relevance to User,Does the response prioritize information that directly addresses the user's stated goal or problem?,4,4,0,0.0
47,helpfulness_and_usefulness,Practical Usability,"Does the response specify relevant tools, methods, inputs, or resources needed to apply the advice?",3,3,0,0.0
48,helpfulness_and_usefulness,Practical Usability,Does the response make the next step or takeaway clear enough that the user could reasonably act on it?,3,3,0,0.0
49,helpfulness_and_usefulness,Relevance to User,"Does the response focus on what the user actually needs to know, rather than providing information that is related to the topic but not useful for their specific question?",3,3,0,0.0
52,helpfulness_and_usefulness,Relevance to User,"Does the response address the main question or request the user asked, rather than shifting to a different issue?",3,3,0,0.0
53,helpfulness_and_usefulness,Relevance to User,Does the response avoid digressions into loosely related topics that do not help answer the user's question?,3,3,0,0.0
54,relevance_instruction_following,Task Adherence,Does the response cover each explicit request or sub-task in the user's prompt rather than answering only part of it?,3,3,0,0.0
55,relevance_instruction_following,Task Adherence,"Does the response perform the task the user actually asked for, producing the type of output requested rather than a different kind of answer?",3,3,0,0.0
56,relevance_instruction_following,Task Adherence,"Does the response deliver the specific artifact or action the user requested, for example an explanation, summary, translation, code snippet, or list, rather than substituting a different output format?",3,3,0,0.0
57,relevance_instruction_following,Task Adherence,"Does the response stay focused on completing the user's requested task instead of mainly offering adjacent commentary, background information, or advice?",3,3,0,0.0
62,relevance_instruction_following,Source-Grounded Transformation,"If the user requested an action on given content, does the response actually transform or use that content as requested?",3,3,0,0.0
7,clarity_and_communication,Structural Effectiveness,"Are headings, labels, or other structural cues used effectively when they would improve navigation?",2,2,0,0.0
10,coding_communication_conditional,Code Accuracy,"For any included code, are the commands, syntax, and APIs used in a way that is valid for the stated programming language or environment?",2,2,0,0.0
12,coding_communication_conditional,Code Accuracy,"When code is provided, does it avoid placeholder or pseudo-code fragments that would prevent the user from running or applying it as written?",2,2,0,0.0
35,helpfulness_and_usefulness,Contextual Precision,"Does the response tailor its advice to the user's specific situation, constraints, or expertise level rather than providing a generic answer that could apply to anyone?",2,2,0,0.0
58,relevance_instruction_following,Task Adherence,"Does the response avoid replacing the requested answer with only meta-commentary, refusal without basis, or unrelated advice?",2,2,0,0.0
59,relevance_instruction_following,Format and Constraint Compliance,"If the user specifies constraints on the requested output, does the response carry out the task within those constraints rather than answering in a more generic way?",2,2,0,0.5
60,relevance_instruction_following,Format and Constraint Compliance,Does the response follow the requested format or structure when one is explicitly specified?,2,2,0,0.5
63,relevance_instruction_following,Source-Grounded Transformation,Does the response incorporate details explicitly provided by the user to make its guidance more relevant to the user's stated goal or problem?,2,2,0,0.0
9,coding_communication_conditional,Code Accuracy,"If the response includes code, is the code internally consistent with the described approach and unlikely to fail because of mismatched variables, missing imports, or incompatible function calls?",1,1,0,0.0
11,coding_communication_conditional,Code Accuracy,Does the code avoid obvious logical mistakes that would prevent it from performing the stated task?,1,1,0,0.0
27,correctness_and_completeness,Factual Accuracy,Are the factual claims in the response accurate and free from errors that would mislead the user or undermine the usefulness of the answer?,1,1,0,0.0
28,correctness_and_completeness,Factual Accuracy,Does the response avoid making unsupported factual assertions or presenting speculation as established fact?,1,1,0,0.0
29,correctness_and_completeness,Factual Accuracy,"If the response explains a process, mechanism, or causal relationship, is that explanation factually sound?",1,1,0,0.0
30,correctness_and_completeness,Factual Accuracy,"When the prompt depends on domain knowledge, does the response apply that knowledge accurately without introducing factual misconceptions?",1,1,0,0.0
32,correctness_and_completeness,Logical Consistency,"Does the response avoid contradicting itself across different parts of the answer, so that its claims, recommendations, and reasoning form a coherent whole?",1,1,0,0.0
34,correctness_and_completeness,Logical Consistency,Does the response avoid switching positions on the same issue without explanation?,1,1,0,0.0
61,relevance_instruction_following,Format and Constraint Compliance,"Does the response account for constraints mentioned in the prompt, such as time, budget, tools, or other limitations, when giving recommendations?",1,1,0,1.0
